Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils
76213T,Lusk Community College,http://www.luskcommunitycollege.ie/,Raheny Lane,Rathmore Road,Lusk,Co. Dublin,Dublin,K45WN50,15130000,admin.luskcc@ddletb.ie,Orla Forde,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,280,331,611
76293U,Kingswood Community College,http://www.kingswoodcc.ie/,Kingswood Avenue,Tallaght,Dublin 24,,Dublin,D24X62W,,info@kingswoodcc.ie,Deborah Dunne,N,Mixed,,No subjects taught through Irish,N,U,MULTI DENOMINATIONAL,Open,88,92,180
76394D,Clonturk College,http://clonturkcc.ie/,Whitehall,Dublin 9,,,Dublin,D09W5K6,15596960,info@clonturkcc.cdetb.ie,Susan Campbell,N,Mixed,,No subjects taught through Irish,N,U,MULTI DENOMINATIONAL,Open,50,69,119
76454S,Griffeen Community College,,c/o Kishogue Community CMain Street,Kishogue,Lucan,Co. Dublin,Dublin,K78DC89,14529600,rachelmcgrath@griffeencc.ie,Rachel McGrath,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,1,15,16
81001I,Newpark Comprehensive School,http://www.newparkschool.ie/,Newtown Park Avenue,Blackrock,Co Dublin,,Dublin,A94EV70,12883724,office@newparkschool.ie,MR. DEREK LOWRY,N,Mixed,Day,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,402,461,863
81002K,Mount Temple Comprehensive School,http://www.mounttemple.ie/,Malahide Road,Dublin 3,,,Dublin,D03DX79,18336984,office@mounttemple.ie,MR. LIAM C WEGIMONT,N,Mixed,Day,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,437,449,886
81017A,TRINITY COMPREHENSIVE SCHOOL,,BALLYMUN ROAD,DUBLIN 9,,,Dublin,D09TN22,18428356,info@trinitycomp.ie,MS. FRANCES L NEARY,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,222,302,524
91301D,Holy Family Community School,http://www.hfcs.ie/,Kilteel Road,Rathcoole,Co Dublin,,Dublin,D24FT54,14580766,info@hfcs.ie,MISS BRENDA KELLY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,449,507,956
91302F,Phobailscoil Iosolde,http://www.palmerstowncs.ie/,Palmerstown,Dublin 20,,,Dublin,D20P236,16265991,lorraineotoole@palmerstowncs.ie,MS. LORRAINE O'TOOLE,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,322,415,737
91305L,Ballinteer Community School,http://www.ballinteercs.ie/,Ballinteer,Dublin 16,,,Dublin,D16XF79,12988195,admin@ballinteercs.ie,MR. DAVID O'CONNELL,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,182,238,420
91310E,Cabinteely Community School,http://www.cabinteelycs.ie/,Cabinteely,Dublin 18,,,Dublin,D18VH73,12852137,office@cabinteelycs.ie,MISS O M BRETT,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,206,289,495
91315O,Scoil Phobail Chuil Mhin,,Cluain Saileach,Baile Atha Cliath 15,,,Dublin,D15FW97,18214141,principal@coolminecs.ie,MISS PATRICIA MC PHILLIPS,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,478,590,"1,068"
91316Q,Blakestown Community School,http://www.blakestowncs.ie/,Blanchardstown,Dublin 15,,,Dublin,D15F978,18215522,admin@blakestowncs.ie,MISS EILEEN O'CONNOR,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,245,233,478
91318U,The Donahies Community School,http://www.donahiescommunityschool.com/,Streamville Road,Dublin 13,,,Dublin,D13YN77,18473522,office@donahiescs.ie,MR. PETER KEOHANE,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,260,272,532
91324P,Portmarnock Community School,http://www.portmarnockcommunityschool.ie/,Carrickhill Road,Portmarnock,Co Dublin,,Dublin,D13F766,18038056,office@portmarnockcommunityschool.ie,MS. EITHNE DEENEY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,404,495,899
91325R,Malahide Community School,http://www.malahidecs.ie/,Broomfield,Malahide,Co. Dublin,,Dublin,K36PR28,18463244,office@malahidecs.ie,MR. DAVID HAYES,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,612,618,"1,230"
91330K,Holy Child Community School,http://www.holychildcommunityschool.ie/,Pearse Street,Sallynoggin,County Dublin,,Dublin,A96E0C9,12855334,office@holychildcommunityschool.ie,MS. VALERIE MAHER,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,104,139,243
91332O,St Marks Community School,,Cookstown Rd,Tallaght,Dublin 24,,Dublin,D24VW22,14519399,stmarksoffice@eircom.net,MISS EITHNE COYNE,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,430,411,841
91335U,Tallaght Community School,http://www.tallaghtcs.com/,Balrothery,Tallaght,Dublin 24,,Dublin,D24X759,14515566,tallaghtcs@eircom.net,MRS. TERESA HENNESSY,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,354,441,795
91336W,Old Bawn Community School,http://www.oldbawncs.ie/,Old Bawn,Tallaght,Dublin 24,,Dublin,D24HP38,14520566,obcsdays@eircom.net,MR. PAUL CRONE,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,463,451,914
91337B,Killinarden Community School,http://www.killinardencs.ie/,Killinarden,Tallaght,Dublin 24,,Dublin,D24RF70,14527447,mainoffice@killinardencs.ie,MISS ADRIENNE WHELAN,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,230,240,470
91338D,St Aidan's Community School,,Brookfield,Tallaght,Dublin 24,,Dublin,D24XA46,14524677,sacsbrookfield@eircom.net,MRS. KAREN QUIGLEY,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,205,263,468
91339F,Hartstown Community School,http://www.hartstowncs.com/,Clonsilla,Dublin 15,,,Dublin,D15X049,18207863,info@hartstowncs.com,MR. JOHN BEAN,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,538,595,"1,133"
91342R,Pobalscoil Neasáin,http://www.psn.ie/,Baldoyle,Dublin 13,,,Dublin,D13F9K2,18063092,office@psn.ie,MR. PATRICK MCKENNA,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,260,469,729
91343T,St. Tiernan's Community School,http://www.tiernans.ie/,Parkvale,Balally,Dublin 16,,Dublin,D16KW26,12953224,runai@tiernans.ie,MR. DECLAN HUGHES,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,189,167,356
91344V,Rosmini Community School,http://www.rosmini.ie/,Grace Park Road,Drumcondra,Dublin 9,,Dublin,D09H020,18371694,info@rosmini.ie,MISS PHILOMENA CHERRY,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,48,97,145
91510M,St. Colmcille's Community School,http://www.stcolmcilles.ie/,Scholarstown Rd,Knocklyon,Dublin 16,,Dublin,D16H298,14952888,info@stcolmcilles.ie,MR. JOHN MC KENNEDY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,362,352,714
71390Q,Archbishop McHale College,http://archbishopmchalecollege.scoilnet.ie/blog/,Dublin Road,Tuam,Co Galway,,Galway,H54KC66,9324237,ann.donnellan-daly@gretb.ie,Eileen Delaney,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,41,167,208
62890M,Ardscoil Mhuire,http://www.ardscoilmhuire.com/,Mackney,Ballinasloe,Co Galway,,Galway,H53CP40,909642206,principal@ardscoilmhuire.ie,MS. PATRICIA KILGALLEN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,479,,479
63100I,Calasanctius College,http://calasanctius.ie/,Oranmore,Co Galway,,,Galway,H91K7H2,91794564,admin@calasanctius.ie,MISS MARY CONLON,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,406,400,806
71270G,Clárin College,https://www.athenryvs.com/,Athenry,Co Galway,,,Galway,H65AF34,91844159,admin.athenryvs@cogalvec.ie,Mr. Ciaran Folan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,220,266,486
71290M,Coláiste an Chreagáin,http://www.colaisteanchreagain.com/,Mountbellew,Ballinasloe,Co Galway,,Galway,H53XT54,909679231,principal.cc@cogalvec.ie,Ms Ann-Marie Carroll,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,15,51,66
76102K,Coláiste an Eachréidh,https://colaisteaneachreidh.com/,An Coiléar Bán,Baile Átha an Rí,Co na Gaillimhe,,Galway,H65AT81,91874590,colaiste.aneachreidh@gretb.ie,Brian O'Maoilchiaran,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,96,109,205
76233C,Coláiste Bhaile Chláir,http://www.colaistebhailechlair.com/,Claregalway,Co. Galway,,,Galway,H91D635,91799001,info.claregalway@gretb.ie,Mr Alan Mongey,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,471,501,972
71250A,Colaiste Cholmcille,http://www.ccbs.ie/,Indreabhán,Co na Gaillimhe,,,Galway,H91YH30,91593119,riarachan.cccille@gretb.ie,Peadar Ó Sé,Y,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,99,111,210
63130R,Colaiste Chroi Mhuire,http://ccm.ie/,An Spideal,Co Na Gaillimhe,,,Galway,H91V963,91553113,colaistechroimhuire@gmail.com,MS. TRIONA UI MHURCHU,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,CATHOLIC,Open,84,111,195
62981P,Coláiste Einde,http://endascollege.ie/,Threadneedle Road,Galway,,,Galway,H91X798,91521407,colaisteeinde@eircom.net,MS. DEIRBHLE QUINN,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,301,458,759
71370K,Coláiste Ghobnait,/,Inis Oírr,Oileáin Arann,Cuan na Gaillimhe,,Galway,H91V215,9975016,brid.nidhonncha@gretb.ie,Brid Ni Dhonnacha,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,12,15,27
62970K,Coláiste Iognáid S.J.,http://colaisteiognaid.ie/,Br. Na Mara,Gaillimh,,,Galway,H91N732,91501550,admin@colaisteiognaid.ie,MR. SHANE DALY,N,Mixed,Day,Some pupils taught some subjects through Irish,N,N,CATHOLIC,Open,294,336,630
62900M,Coláiste Mhuire,http://www.colaistemhuire.ie/,Ballygar,Co. Galway,,,Galway,F42D265,906624740,smcballygar@eircom.net,MS. EMMA TURLEY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,119,109,228
76096S,Coláiste Mhuirlinne/Merlin College,http://merlincollege.ie/,Doughiska Road,Galway,,,Galway,H91309Y,91769000,john.cleary@gretb.ie,John Cleary,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,219,238,457
71330V,Coláiste na Coiribe,http://www.colaistenacoiribe.ie/,Bóthar Bhaile na mBúrcach,Bóthar Bhaile Mhóinín,Co. na Gailimhe,,Galway,H91RC97,91753977,eolas@colaistenacoiribe.ie,Stiofán Ó Cualáin - Acting,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,265,305,570
71300M,COLÁISTE NAOMH ÉINNE,https://www.gairmscoileinne.com/,Cill Rónain,Inis Mór,Árainn,Co na Gaillimhe,Galway,H91K5K8,9961184,priomhoide.gseinne@cogalvec.ie,Mícheál ó Cúláin,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,19,37,56
71320S,Coláiste Naomh Feichín,http://colaistenaomhfeichin.ie/,Corr na Mona,Co na Gaillimhe,,,Galway,F12YV84,949548006,eolas.feichin@gretb.ie,Aine Bhreathnach,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,44,49,93
62880J,Colaiste Sheosaimh,http://www.colaistesheosaimh.com/,Gearrbhaile,Beál Áth na Slua,Co na Gaillimhe,,Galway,H53R273,909642504,garbally.college@gmail.com,MR. STEPHEN REILLY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,530,530
62990Q,Dominican College,http://www.dominican-college.com/,Taylors Hill,Galway,,,Galway,H91C573,91523171,office@taylorshill.ie,MR. ALAN KINSELLA,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,613,,613
91414Q,Dunmore Community School,http://www.dunmorecs.ie/,Dunmore,Co Galway,,,Galway,H54KP03,9338203,secretary@dunmorecs.ie,MR. DECLAN QUINN,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,119,177,296
71380N,Gairmscoil na bPiarsach,http://www.gairmscoilnabpiarsach.com,Ros Muc,Co na Gaillimhe,,,Galway,H91R838,91574100,piarsach@gretb.ie,Peadar Ó Loideain,Y,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,42,34,76
71400Q,Galway Community College,https://www.galwaycc.ie/,Wellpark,Galway,,,Galway,H91K642,91755464,gcc@gretb.ie,Mr Brian Melia,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,116,129,245
91514U,GLENAMADDY COMMUNITY SCHOOL,http://www.glenamaddycs.ie/,GLENAMADDY,CO GALWAY,,,Galway,F45KF50,949659315,reception@glencs.ie,MR. JAMES DUIGNAN,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,223,171,394
91498C,Gort Community School,http://www.gortcs.com/,Gort,Co. Galway,,,Galway,H91C9K1,91632163,info@gortcs.com,Brian Crossan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,382,381,763
63090I,Holy Rosary College,http://hrc.ie/,Mountbellew,Co Galway,,,Galway,H53VN50,909679222,info@hrc.ie,MRS. MARY T WALSH,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,316,366,682
63001G,Jesus & Mary Secondary School,http://www.jmsschoolenniscrone.ie/,Salerno Secondary School,Threadneedle Rd,Salthill,Galway,Galway,H91D9H3,91529500,admin@salerno.ie,SR. MARY GERARDA LAWLER,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,667,,667
63171I,Mercy College,http://www.mercytuam.com/,Woodford,Co Galway,,,Galway,H62N968,909749076,admin@mercycollegewoodford.ie,MS. LORETO CANNING,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,76,71,147
68285C,Our Lady's College,http://ourladyscollegegalway.ie/,Presentation Road,Galway,,,Galway,H91AY07,91563495,deputyprincipal@ourladyscollegegalway.ie,MISS CLIONA O'NEILL,N,Girls,,No subjects taught through Irish,N,N,CATHOLIC,Open,324,,324
91413O,Portumna Community School,http://www.portumnacs.ie/,Portumna,Co. Galway,,,Galway,H53N403,909741053,principal@portumnacs.com,MR. JOHN LONG,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,224,236,460
62870G,Presentation College,http://www.presentationcollegecarlow.com/,Athenry,Co Galway,,,Galway,H65WD54,91844144,officepca@eircom.net,MR. CATHAL MOORE,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,524,588,"1,112"
63040Q,Presentation College,http://presathenry.ie/index.html,Headford,Co. Galway,,,Galway,H91D516,9335408,office@presheadford.ie,MRS. MARY SWEENEY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,345,385,730
63170G,Presentation College,https://prescurrylea.com/,Currylea,Tuam,Co Galway,,Galway,H54F202,9324575,prescurrylea@gmail.com,MS. NEASA COSGROVE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,455,,455
81012N,Scoil Chuimsitheach Chiaráin,/,An Cheathrú Rua,Co na Gaillimhe,,,Galway,H91N267,91595215,scoilcc@eircom.net,MR. SEAN MARTIN MACDONNCHA,Y,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,161,159,320
91412M,Scoil Phobail,http://www.spslrathmore.ie/,Clifden,Co Galway,,,Galway,H71W673,9521184,info@clifdencs.ie,MISS MARY KELLY,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,200,203,403
91411K,Scoil Phobail Mhic Dara,http://www.scoilphobailmhicdara.com/,Carna,Co na Gaillimhe,,,Galway,H91DH50,9532245,spmd@eircom.net,UAS. DARA O MAOILCHIARAIN,Y,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,45,39,84
63050T,Seamount College,http://www.seamountcollege.ie/,Kinvara,Co Galway,,,Galway,H91N5P2,91637362,seamount.ias@eircom.net,MS. MAIGHREAD MHIC DHOMHNAILL,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,240,211,451
71280J,St Brigids College, www.vocationalschoolloughrea.ie,Loughrea,Co Galway,,,Galway,H62XF63,91841919,stbrigids@gretb.ie,Mr Sean Connolly,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,286,317,603
62960H,St Joseph's College,http://www.bish.ie/,Nun's Island,Galway,,,Galway,H91C3X5,91565980,Office@bish.ie,MR. CIARAN DOYLE,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,756,756
71310P,St Killian's College (Coláiste Chilleáin Naofa),http://www.stkillians.ie/,St. Killians College,Cnoc Breac,"New Inn, Ballinasloe",Co Galway,Galway,H53KW93,909675811,dympna.mulkerins@gretb.ie,Pádraig Kelly,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,67,101,168
63101K,St Pauls,http://www.stpaulsoughterard.com/,Oughterard,Co Galway,,,Galway,H91PT86,91552689,admin@stpaulsoughterard.com,MRS. ORLA MALONE,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,186,223,409
63070C,St Raphaels College,http://www.saintraphaels.ie/,Loughrea,Co Galway,,,Galway,H62K271,91841062,ann.moran@saintraphaels.ie,MR. THOMAS CAFFERKY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,307,269,576
63160D,St. Brigid's School,http://www.mercytuam.com/,Convent Of Mercy,Tuam,Co. Galway,,Galway,H54F202,9324199,info@mercytuam.com,MR. GEAROID FRANCIS LEEN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,365,,365
62930V,St. Cuan's College,http://stcuanscollege.com/,Castleblakney,Ballinasloe,Co Galway,,Galway,H53AN80,909678127,saintcuans@eircom.net,MS. COLLETTE KENNEDY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,147,123,270
68074M,St. Jarlaths College,http://www.jarlaths.ie/,TUAM,CO GALWAY,,,Galway,H54EV84,9324342,info@jarlaths.ie,MR. JOHN KELLY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,556,556
62980N,St. Mary's College,http://www.stmaryscollege.ie/,St. Mary's Road,Galway,,,Galway,H91H7F8,91522369,office@stmaryscollege.ie,Mr Tom Nolan,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,362,362
61220I,St. Joseph's Secondary School,http://www.sjsb.info/,Doon Road,Ballybunion,Co. Kerry,,Kerry,V31RT61,6827205,principal@sjsb.eu,MR. JOHN G O'DONOVAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,167,164,331
61250R,Meanscoil Phadraig Naofa,,Castleisland,Co Kerry,,,Kerry,V92PY65,667141963,stpatricksss@gmail.com,MR. DENIS J O'DONOVAN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,203,203
61260U,Mean Scoil Naomh Ioseph,http://www.presentationcastleisland.ie/,Clochar na Toirbhirte,Castleisland,Co Kerry,,Kerry,V92KC97,667141178,presconvent.ias@eircom.net,MS. KATHERINA BRODERICK,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,213,,213
61301I,Coláiste Íde,http://www.colaisteide.ie/,Baile an Ghóilín,Daingean Uí Chúis,Co Chiarraí,,Kerry,V92E432,669151211,info@colaisteide.com,MISS ÁINE NÍ CHEARBHAILL,N,Girls,Boarding,All pupils taught all subjects through Irish,Y,N,CATHOLIC,Open,101,,101
61320M,St. Brendan's College,https://www.stbrendanscollege.ie/,Cill Airne,Co Chiarraí,,,Kerry,V93FP49,646631021,admin@stbrendanscollege.ie,MR. SEAN PAUL COFFEY,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,748,748
61340S,St. Brigid's Secondary School,http://www.stbrigidskillarney.ie/,New Street,Killarney,Co. Kerry,,Kerry,V93ND79,646632209,info@sbk.ie,MS. ROISIN MOORE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,572,,572
61360B,The Intermediate School,http://www.isk.ie/,Iveragh Road,Killorglin,Co. Kerry,,Kerry,V93NV09,669761246,iskadmins@eircom.net,MR. JAMES O'DWYER,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,266,244,510
61370E,St. Michael's College,http://www.stmichaelscollege.ie/,Listowel,Co. Kerry,,,Kerry,V31DX31,6821049,smcadmin@eircom.net,MR. JOHN MULVIHILL,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,266,266
61380H,Presentation Secondary School,http://presentationsecondarylistowel.ie/,Listowel,Co Kerry,,,Kerry,V31V520,6821452,office@presentationsecondarylistowel.ie,MISS EILEEN KENNELLY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,321,,321
61410N,Presentation Secondary School,"Presentation Secondary School, Miltown, Killarney, Co Kerry http://presmilltown.ie/ http://presmilltown.ie/",Miltown,Killarney,Co Kerry,,Kerry,V93DV79,669767168,office@presmiltown.ie,MRS. KERRY HARKIN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,324,263,587
61440W,C.B.S. Secondary School,http://www.thegreen.ie/,The Green,Tralee,Co. Kerry,,Kerry,V92EA09,667145824,info@thegreen.ie,MS. ANNE O'CALLAGHAN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,611,611
61450C,Presentation Secondary School,http://www.prestralee.ie/,Tralee,Co Kerry,,,Kerry,V92K768,667122737,prestralee@gmail.com,Chrissie Kelly,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,637,,637
68070E,Mercy Secondary School Mounthawk,http://www.mercymounthawk.ie/,"Mounthawk,","Tralee,",Co. Kerry,,Kerry,V92A409,667102550,admin@mercymounthawk.ie,MR. JOHN J O'ROARKE,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,638,613,"1,251"
68075O,MEAN SCOIL NUA AN LEITH TRIUIGH,http://www.msltcastlegregory.ie/,CAISLEAN GHRIAIRE,CO CHIARRAI,,,Kerry,V92HY82,667139746,mslt.caislean@gmail.com,AODAN MAC GEARAILT,N,Mixed,Day,No subjects taught through Irish,Y,N,CATHOLIC,Open,64,84,148
70450D,Killarney Community College,http://www.killarneycc.ie/,New Road,Killarney,Co Kerry V93 NA48,,Kerry,V93NA48,646632164,admin@killarneycc.ie,Stella Loughnane,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,187,165,352
70460G,Community College Killorglin,http://www.killorglincc.ie/,Killorglin,Co Kerry,,,Kerry,V93PY05,669761168,info@killorglincc.ie,Mr Con Moynihan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,126,149,275
70500P,Coláiste na Ríochta,http://www.colaistenariochta.ie/,Listowel,Co Kerry,,,Kerry,V31WD34,6821023,info@colaistenariochta.ie,Stephen Goulding,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,20,41,61
70520V,Castleisland Community College,http://www.castleislandcommunitycollege.com/,Tonbwee,Castleisland,Co. Kerry,,Kerry,V92P528,667141196,info@castleislandcc.com,Carmel Kelly,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,99,123,222
70540E,Causeway Comprehensive School,http://www.causewaycs.ie/,Causeway,Tralee,Co Kerry,,Kerry,V92EP46,667131197,admin@causewaycs.ie,Mr Cathal Fitzgerald,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,223,260,483
70550H,Coláiste Gleann Lí Post Primary School,http://gleannli.ie/,Clash Road,Tralee,,,Kerry,V92XR81,667122552,office@gleannli.ie,Mr. Richard Lawlor,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,74,93,167
70560K,Gaelcholáiste Chiarraí,http://www.gcchiarrai.ie/,Tobar Mhaigh Dor,Trá Lí,Co Chiarraí,,Kerry,V92N763,667121650,eolas@gcchiarrai.ie,Austin Ó Seachnasaigh,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,171,178,349
76068N,Coláiste na Sceilge,http://colaistenasceilge.ie/,Caherciveen,Co. Kerry,,,Kerry,V23Y003,669473335,info@colaistenasceilge.ie,John O'Connor,N,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,221,250,471
81006S,Tarbert Comprehensive School,http://www.tarbertcomprehensive.ie/,Tarbert,Listowel,Co Kerry,,Kerry,V31WD66,6836105,admin@tarbertcs.ie,MR. RICHARD PRENDIVILLE,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,272,256,528
91503P,Pobalscoil Inbhear Sceine,https://www.kenmarecs.com/,Kenmare,Co. Kerry,,,Kerry,V93K580,646640846,info@kenmarecs.com,MR. DERMOT JOHN HEALY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,232,248,480
91504R,Scoil Phobail Sliabh Luachra,http://www.spslrathmore.ie/,Rathmore,Co. Kerry,,,Kerry,P51PR53,647758135,rathmorecs@eircom.net,MR. DENIS KERINS,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,187,195,382
91511O,Pobalscoil Chorca Dhuibhne,http://pcd07.ie/,An Grobh,An Daingean,Co. Chiarraí,,Kerry,V92DR04,669150055,pcd07@eircom.net,UAS. PADRAIG FIRTEAR,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,176,194,370
61661P,Salesian College,http://www.salesianscelbridge.com/,Celbridge,Co. Kildare,,,Kildare,W23W0XK,16272166,salesianscelbridge1@eircom.net,MS. BRENDA KEARNS,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,705,705
61680T,Newbridge College,http://www.newbridge-college.ie/,Newbridge,Co. Kildare,,,Kildare,W12C241,45487200,info@newbridge-college.ie,MR. PATRICK O'BRIEN,N,Mixed,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,438,444,882
61681V,Patrician Secondary School,http://www.patriciansecondary.com/,Newbridge,Co Kildare,,,Kildare,W12XV38,45432410,patriciansecondary@me.com,MR. PATRICK O'LEARY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,888,888
