,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Lat,Lag,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
604,72310U,Coola Post Primary School,http://www.coola.ie/,Riverstown,Via Boyle,Co Sligo,,Sligo,F52XE71,719165365.0,coolapps@msletb.ie.ie,Mr Damien McGoldrick,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,254,243,497,54.1139277,-6.732954599999999,,,,,,,,,,,,,,,,,,,,
605,72320A,Coláiste Iascaigh,http://colaisteiascaigh.scoilnet.ie/blog/,Easkey,Co Sligo,,,Sligo,F26EC56,9649021.0,maevekelly@msletb.ie,Maeve Kelly,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,59,66,125,54.2439551,-6.962929399999999,,,,,,,,,,,,,,,,,,,,
606,72330D,Grange Post Primary School,http://www.grangepps.ie/,Grange,Co Sligo,,,Sligo,F91F722,719163514.0,secretary@grangepps.ie,Eimear Harte,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,71,130,201,54.2434693,-6.962943699999999,,,,,,,,,,,,,,,,,,,,
607,72360M,Ballinode College,http://www.ballinodecollege.com/,Clarion Rd,Sligo,,,Sligo,F91DY66,719145480.0,ballinodecollege@msletb.ie,David McGuinness,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,55,104,159,54.2433955,-6.9633372,,,,,,,,,,,,,,,,,,,,
608,91512Q,St Attracta's Community School,http://www.stattractas.ie/,Tubbercurry,Co. Sligo,,,Sligo,F91KT21,719120814.0,info@stattractas.ie,MR. DAVID JOHN MC EVOY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,321,346,667,53.339806,-7.059842199999999,CmRaAAAAFdDqVCgZhWT2dAbciSMDqIOpQzwfPjngtJ_8Pu3Rpepbx2u1Eh9DxP2_m6IpqWNfscbgZVSkTGZ07VwCIopS8fliVz6bTyCBCTAK6qkDx25YYNpEARYjPPCLX8gfJERUEhCcqEyGSzQdP8im3tZKPMwPGhSFSoQLdBOLBdjQ-OxshAgHKiS0Yw,CmRaAAAA5njuDpQouWvdzaePSVK1nWQ-gyJPX-0jLNXg3YGwa2-w7wkqd3N8RTiA16XFNpXkFyOj6yZyU-ZaBTM-6Kz2QkR1Z0bzhIorQ6VX05Ud32wh0YMSlZo_GD8QZ2V1AVWTEhC3VlcbGncv4x1afd215c44GhTGlffA3dLGyGk829iCogbBmpSZmw,CmRaAAAAiP1mM83y9_FCoi_6yzS5rlDQLFbC4mqYPVXrrK0pwQ3EeF36r50r5k-94x2ZDwbkEEkPz8zJAbvvvM2AeCKsowsoNAqpQ1eM-Yhs5TDqyGYQ8IYbWcEMhx-mhU5I3487EhDuYGe8AVcI370J0a-gE5siGhQx_HOyYVoZrD3NDUBMSgFhfRZSsw,,,,,,,,,,,,,,,,,
609,65240L,Presentation Secondary School,http://www.presthurles.ie/,Ballingarry,Thurles,Co. Tipperary,,Tipperary,E41W627,529154104.0,presballingarry@eircom.net,MS. ANGELA CAHILL-DURNAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,119,128,247,53.27043519999999,-7.4904158,CmRaAAAAen5fpNFGPkM94oKTtPMG_H-lV3KZtTjJ8xFXvqz5HdqRG9bWzIi5amPTLQootTFBx_E6QQ88-ue55lxQ1q-rNxDz2f6UHwNQwr0rAa9bMFThBWy269onQSZm1_7AIPNiEhDQG3oyUhu1xvCiOgKQU-DVGhTDJSxGnclj3gRW04Gh1ggrzP-Fag,CmRaAAAAclFyot25VLtMiqPejPUEp3J7gS62AXT3m0U4PHioI0aECBXgnC0lVGh7U9L_EAnw5nU3g5biPge3uswrJhkrpxNeDguJVua-Xs7knXcAGWiDmsbqXeyzw2DlKNCI057YEhC8tT2SMc_b5AWwBcm2be3eGhQgp0438iEj4jllXMbDgNetrkvfJQ,CmRaAAAAq0R_gZPJOLQCYHVSjQ1eJmPaeDWGgohzJAEJMTySvkiGSE5tMRRa4PJ30oodSWeHH2tXbNuKWeeqiNPfdlwT-maVKzBJjMpKG-8P8ZYQif4SD0CLGVe4HBo85VqTDa5QEhB0bumaU_FA4edFFBAN8eCMGhQfOF60scxh5I08SGHtjcl1j8vCDQ,CmRaAAAAwpi0da61DPvWxpKj9RIGuun8b7jCtH5PRg5fqCpXxogFi9kA6ERY7beZt5c0kRBvnyiDEZ_hCuH-qP83GtZ2t_BkIztdRN3P9Yr_bSmqALqB1QX7NV27-PaNYlcolOSqEhAwf-fJeZm2KWcqd2P5tOodGhSje6E0PQ2G0moI0Yt-ocExAT7c_A,CmRaAAAAWyZVKrwIWfcuV9OUtazdWAE1UrZ_bBxKQNRAdEPXE2YwBQpKwYMKU8wp3tw0EFLPkMuPQE6iEmdNlcHnWCQdOikqmj2Ed5r6zUSyCYgXCuEEYFrjCuEQEvpePO0Jza45EhB9_VtURNhq2Qodww7R-0XqGhQNM6FwqcpW0JAzPPQpMgmyvDymDQ,CmRaAAAA1goNWKZk1uW5BaBZrtckPpZYPhIRpMZBQH_RfU19goKErjL_Z6MCbZgvqrPGvnrIzS_1p54yL3RA5dZS-GGtl4_bERAPJeS5QLQXBh_lpxk-6OPrmTdrxzZCAzAksxA4EhDqobQwqp3bvd-GZV_839_3GhSv2B1F80fSOg_WRI4gdwe7tgWyXA,CmRaAAAA47qdrEcyh4CEXyWKV_qFquQyNx0ZptzvgK15KjAK9slmYy9U_1KIr-4Pd-2_N67dlY0l-37MyRxIELUkUQykCNxRwXwuRjYgfpS9A1wU6zsehIz4kzrvPCsBzdSKUVZ8EhAjRHKhH2aexY57gmgAUyawGhS943tJQrunIGS-9OU1SHuBwg-MZg,CmRaAAAAcAJe9g42T8PUbfjAoaguYbAIOFnjt0yrm6S5eaRAyfTNpLLheEUVZEFWpMTq0-loPpZD9x99MXKVa49AvXCuAzRTRAfep25FX9L6JAIhZQFO3ZkSaCeIvhuSrwlSbzYiEhBpplsUzxRjNThbOMfPNQwLGhRlPkoLvREQ3UTdrQtepjs2lxkD0w,CmRaAAAA79Iosr5FJIOjrTv1Kf-A7aybSL-Py2LCCInSK59Szu7NMSW_FSmfNvw82IBsbTwv88vo8c9sD-RdRT56SFx3-d1WxCu8Dwnxe9pXXGOeIilub974Ys7l1T7hnhnQU4J5EhBfUlDdHD_D0crpn_h40pkiGhQR6y_hmgSm91tAxWNW_7JbSRA-9Q,CmRaAAAABWz5bNwVRfRhmlMGG3ajD2yaH7t0-4oRM7WYmH79LrRt3TDFOEqPCP6Hg7ptmkSAt5aynEgJ5n1j2vpXiuVld5c7uUaZmQMxaKte1FtoBz_bvSg_PTXc4Fi5RRBPTxXwEhCb7WQpZeqW_Xqc5OJWVXyIGhRDYKc0lV5YlBnpb1QL1pAQUNFLbA,,,,,,,,,,
610,65241N,St Josephs College,http://www.stjosephscollege.ie/,Borrisoleigh,Thurles,Co Tipperary,,Tipperary,E41WC99,50451215.0,office@stjosephscollege.ie,Ms Catheriona Ryan/kevin MCarthy Acting,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,104,121,225,53.27666019999999,-7.485135099999999,CmRaAAAAWDPolfxKOmdz4ZdE0T0G9ndpeXEuXdx5J69V7HWsbYRo5HkLxckZuD5A9agtjkzbDoXFEl1yobPyW7EnOftw1o5amB1qo8OYZjQ5aX_tnT3nBecclGdT0peOzPGPMfsqEhCUsF99sYAQ5PkG2rdj8rP5GhTLyKS7jEZS9h4Gz8v5mqmRiQZaJA,,,,,,,,,,,,,,,,,,,
611,65270U,C.B.S.,,Carrick-On-Suir,Co Tipperary,,,Tipperary,E32P039,51640522.0,cbscarrickonsuir@eircom.net,MR. WILLIAM O'FARRELL,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,294,294,53.2708404,-7.5961768,CmRaAAAAn1sOMBQ-DCUwBOvXL0hv1mXOWY9huAz4DDsm7bLTCjJSUxcaRkY2D7xqpED0ybQM5iBKWdlHqjxrF3mXgcvIXunYMGjMsC2y3ayh39CeBMWWOiwz3gWnmqdnhLibvqa7EhDxhNBQD9-fT-_7rHsX_azuGhQjzfmEW69rpujqxq_4DXh5N6b-Yw,,,,,,,,,,,,,,,,,,,
612,65280A,Scoil Mhuire,,Greenhill,Carrick-On-Suir,Co Tipperary,,Tipperary,E32WN66,51640383.0,greenhill@eircom.net,MR. BRENDAN O'DWYER,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,433,,433,53.1620053,-7.2038984,CmRaAAAA_qaL_RMu6E_MaEK-J9VNCaH6BRzquvDdIgR3kvEnpR7JiaCqPyC10ALldua2skFwvYAt9dPuSqL9e9_rC2N5EODWU8LxaOZauwIjcpClXvyRcsH8urTBz49xkcJOiJKIEhA-3xAx_zvSYH-pqi7S1MYdGhQ7Z-WtZ_l3uIfoGdQm6EkA4yr30w,CmRaAAAAEaT4j0yCcWkqIigGtXC_nBKzMWadrRaAIyJDs3UD6JCOzKgWT7PnRP6DxRv3NHkxl5lzz5auwErTGhnT33G3xxf89jzvbuWnuswX-IeiuhwFo3DHK7R_colJy0w8YCJQEhDV4qeeEjZySCzkoGmodENZGhS2pkf0gUWkcqK9lE0_h6YtAXVVkA,,,,,,,,,,,,,,,,,,
613,65300D,Rockwell College,http://www.rockwellcollege.ie/,Cashel,Co Tipperary,,,Tipperary,E25ED60,6261444.0,info@rockwellcollege.ie,MS. AUDREY O'BYRNE,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,121,379,500,53.1793772,-7.7202134,,,,,,,,,,,,,,,,,,,,
614,65320J,Árdscoil na mBráithre,http://www.erst.ie/our-schools/detail/ardscoil-na-mbraithre,Clonmel,Co Tipperary,,,Tipperary,E91AC03,526124459.0,accounts@cbshighschoolclonmel.ie,KAREN BRIDGET WHITE-STEENSON,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,697,697,53.3406303,-7.6124299,,,,,,,,,,,,,,,,,,,,
615,65330M,Loreto Secondary School,http://loretoclonmel.scoilnet.ie/,Coleville Rd.,Clonmel,Co Tipperary,,Tipperary,E91H273,526121402.0,reception@loretoclonmel.ie,MS. ANNE JOSEPHINE MCGRATH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,524,,524,53.33684539999999,-7.063478399999999,,,,,,,,,,,,,,,,,,,,
616,65340P,Presentation Secondary School,,Clonmel,Co Tipperary,,,Tipperary,E91HY49,526123587.0,principal@presclonmel.com,MRS. ETHEL REYNOLDS,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,454,,454,53.2756368,-7.487299999999999,,,,,,,,,,,,,,,,,,,,
617,65350S,Patrician Presentation,http://fethardsecondaryschool.ie/index.html,Rocklow Rd.,Fethard,Co Tipperary,,Tipperary,E91NF88,526131572.0,ppssadmin@gmail.com,MR. PATRICK COFFEY,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,68,62,130,53.1868093,-7.9863692,CmRaAAAAylPJuVB5Tvv4mfF_F2hzYkrw088rVcBBif1Z4_lKtF2YB8kVz83PJJ-3y6BhfHI-sjnsipV3KgZCml3j3reqMbnshekaGUrSrdniVcjbZhJ2ApEIDx40q2p44Mp2M_OXEhA4cgALiwzpMMBw_7bodWkCGhSNjdMvl7pZbguYGNBPvWv4-7A89w,CmRaAAAAm6VaoetwbN65M9E4VbC_ssyC3VjMOtoRIUizKjlArVXj_Ce1rkRZW_EYIZp-BcSHdlRFYTsWMBohyAiGaQyeYJn-5Hi18OTzCfeyosf1dip1WPF1Hxk2ek31nIytcStrEhBMfkEHCegpaVGg6H8yofg3GhR2eLQskq03pJ6lQpD-NjkZmAtPSg,CmRaAAAAKpuNooLq-p0KEVD-MDJ3UdiWOEGdb8HZLVRy1zIJd8V4TRlGRhrHrpWlG5IRY6K0damsvLQUoJH2tb5TRsoxuzUKzj9vbEKeLVhwoDOQabL5LhKHiFYrxbIeO4z-KRGbEhB1WIkRiFPj-oHgL6eRgtjXGhTg0K1A36ZvwELM_iz3brNpOzohHw,CmRaAAAA5nKkXS6Wzl8p4l1r44Ew5O8H0Kyq94Z5CztJRkAtlvdvf0tedXvIJi3biWAAyX_FZ1czbEgfV9R5EjTD0bHwl1JHAVJgEXGGjR2UHWcLZHgOYXDc602Zu8vjWgLyQilIEhD0xtPOvCm-5O72hA1-3mDSGhTeLEm2NzAc877aZvFPxcE6bZPLLw,CmRaAAAApwIiWkQfmNveGHFc_Aofi2XyEZb-b_qH_kr8gddzeYgTmWq1lbdafrIdKZYhNZmarm6LEuQP_cvXFvzO1fR8Z1lMWMEx9cr0-Ns17ShV2nlN1ATlOivwg0pMNs2nLn1wEhA4wCl3cINND8btMw4OUhGBGhTx6nfdht6OAnBohXG0QMN_saqrbA,CmRaAAAAC2wyjfL9jL6N29DtQ0GEGa4hqxCo04a45eUdLUXL4HXK1FUkRe0BR1rB26Wit1DTB4dXGKB3a8WR1TXxT78OPRqj-JP_yv_qNdY9mr5gccBTCYl2HkJWvcBDKquTlMOcEhCFt7IV7MQV8QORlM9pRY0oGhRCIi9UoEADXbQoASjmcFWOg14vNQ,,,,,,,,,,,,,,
618,65370B,St. Joseph's C.B.S,http://www.cbsnenagh.com/,Summerhill,Nenagh,Co Tipperary,,Tipperary,E45F890,6734789.0,reception@cbsnenagh.com,MISS KAREN MOODY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,538,538,53.1045756,-7.914249,,,,,,,,,,,,,,,,,,,,
619,65380E,St Mary's Secondary School,http://stmarysnenagh.ie/,Nenagh,Co Tipperary,,,Tipperary,E45PX63,6731450.0,admin@stmarysnenagh.ie,MR. MICHAEL DINEEN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,517,,517,53.2693644,-7.828822,,,,,,,,,,,,,,,,,,,,
620,65400H,St. Mary's Secondary School,http://www.smnewport.ie/,Newport,Co. Tipperary,,,Tipperary,V94RY18,61378344.0,admin@smnewport.ie,MR. KEVIN WILLIAM CUSACK,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,262,263,525,53.624782,-8.1952111,,,,,,,,,,,,,,,,,,,,
621,65410K,Cistercian College,https://www.ccr.ie/,Roscrea,Co. Tipperary,,,Tipperary,E53DX37,50523344.0,info@ccr.ie,Gerard Greelish,N,Boys,Boarding,No subjects taught through Irish,N,Y,CATHOLIC,Open,,172,172,53.6273661,-8.197550099999999,CmRaAAAAL8cEbCj2a9301l2_1BSuL-JP9fBKfVt4kBOCftZT05kKUcuqICe7qGQMtP9w5hWSq_vE8tEsocAeEZCIoMkgSQnT4p9z9etxnTqKptaeTNqcjWsFiD_c_qe2O_K5uMg4EhAqvLpIpiVPgEuIqZk-de9WGhT6vEaJ7C7yX1lAetdutSHV2Jk3bg,CmRaAAAAHAtm1VxcpaxFSTHtzIRbvQRh3tH-h_wz5ogyTZuAi9vE5lGWyUoS08a1-Vim85wsWABK4TOfAkBWHJcUHoIysVDoO1FVI1zE16nIg8ZhxYPWqjwmBfMKvdHEO2rZIsfyEhCLc8-zmKHhUW1k3Hp6Yj4SGhSXtWGvoKuFLsGw6YITqUFyQiJsBQ,,,,,,,,,,,,,,,,,,
622,65440T,Our Ladys Secondary School,http://www.ourladystemplemore.ie/,Templemore,Co. Tipperary,,,Tipperary,E41EA48,50431299.0,office@ourladystemplemore.ie,MS. PATRICIA MARY HIGGINS,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,242,313,555,53.7771774,-8.1118568,,,,,,,,,,,,,,,,,,,,
623,65450W,C.B.S. Thurles,,Rossa St,Thurles,Co Tipperary,,Tipperary,E41HX75,50422054.0,reception@cbsthurles.ie,MR. TIERNAN O'DONNELL,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,671,671,53.7758666,-8.1035319,CmRaAAAA3dchrBeZ7ZtM0-AeRuC2kZWEPNeaB76y7mttP3iTE-u6cQVWq5mvw6c7Ty6ZHydDqhG9ZA0q-y_gj5CPvspJz0Wh2YRq85EN9vVduwkglbivH7zCbJ9tFpFK7Qo8ZabYEhDM1GzRaXMJnqCYkgxUSrQvGhRr_m8nhBSyA1ZpfPNNK2ZQtJkrTg,CmRaAAAA7qP4vaQ0g8kuXbI98qrlzX6iy1AJhRD0K9SbxkkFAr4YeyqCR9rM2pzr8B37cxYXy_IrDBHFj0udsAn4oZA6MYSZoSs6EVwdgeZAcyMTnXEiJaMf26mtkDqm3zSqicXLEhDmo5zuk9shfwNDXl9MMTPSGhTbvIad7TuPSQJBBybO9UtcrFQXKQ,CmRaAAAALi82Knc7ijqqG7I94TcjAhw1UQc7VDo4M6DVbk0Qy-aPiwUb8mWY0TqbMrqbE5ZJPjdwdkaAVjD5FrMKgesqe-9deUytv_f_mnYsRqOsX3SN74dPyfcnEAvBS6cmxnR9EhA41Z-TanVJIu9pW8le4uNhGhQuCNo7Fq_Z5Izv3jqePTy7sXZatw,,,,,,,,,,,,,,,,,
624,65460C,Presentation Secondary School,http://www.presthurles.ie/,Thurles,Co Tipperary,,,Tipperary,E41DF34,50422291.0,thurlespressec@eircom.net,MRS. MARY COLLINS,N,Girls,Mixed,No subjects taught through Irish,N,N,CATHOLIC,Open,661,,661,53.90419,-8.581287999999999,CmRaAAAARAwa6PoJNpPGGWp48R0xdw9xZFSI1gRXobvKNSehSFokhGw-yaublHBRD_Brfbn1k88Lf7BNfTk2Jw2Ea9uMrrVwOhIKvGKUayG2rPWzxOXmT-ItedfmFEWVzWh-gCKiEhAFyhWHoayiHqsbpVZbj_smGhQaqv_KsN4MasE1mItLBiwLJBInLA,CmRaAAAAoPCuYNAH-ZblaDcxmLjULwVDsQeFIEIYBT3VUnE_zvlkHaKxoLNoib_xv3PDT426ht93LTJwEmXNdO49ecMQz-y8TYYXfZiKxV5hACUtZOPIb9r3k5iJ0THGCPp9raeUEhD5FAKinPswEFHyuDy6sQ7iGhRQnwM57fY2GsBtm09Z1ZIK2N2L9A,CmRaAAAAasJ3S82-BgA2eUkZVXtK2d0wMF2V1LKwMqQVd226bnNeVtxLs2C9CXTRTLbKOdg3ZbfNdmJ0687nLiK3T9LoZzPaHlFXPhRpbfrdOJNqaeIEZliiNxkkaqbZ6zL53fFDEhDiwDtWHuUmNZFV3f2rnYLqGhRSp9xhnOmtdse_A6jXoMU0rX0-ZQ,CmRaAAAA38-mgBycjoLBeBphcXhc18oIBTFAyzkX2bf6a7b_SvrNWf1h3mp-99sfWgLpAHFX598AkIO4jz2BZMZ6SFbM1gW1_1Nfbt7hhafXqlE-hV0k4LkeR4z8LDNLAOLdbPs6EhC3c3z_eUeIq3glg6EjnqzXGhQ5yes9hva5PGd8WTIFX7xmIBJnNA,CmRaAAAAxVPDnon9EP9SPJIQDPQ8hP8vxyAzs3xYKhPX-W3NUwSIR-R94QVz3Z2BITxfBa9WA1p5T3RF5sPROsQQVWUtogCbYI7074gP5H00x5YeOlTRLTanLSCn3O_AEhzl3mb9EhBcs63RrSy5l_aiwhBnFaRxGhRe0THKc0WPq1MXMyQQjd3APOE81g,CmRaAAAAdGB1oo6UTLm0M5sGPr_0Icb9meauLiGKNJnhQvB9tVfXUwMX-69n_owMz92o6ZAEZj7N_agGyK9LfvbS4oeLiV6Bp6Ys9N9lk2jTLsmgfc_3fUcjuKMlDbWd9KcjPMDyEhANlyX-ltX7sCvLjmBRIBnZGhQifvF7LIRUImk9PeWRPY2XMbGvLw,,,,,,,,,,,,,,
625,65470F,Ursuline Secondary School,http://www.uct.ie/,Thurles,Co. Tipperary,,,Tipperary,E41E726,50422147.0,info@uct.ie,MISS MARY T BUTLER,N,Girls,Mixed,No subjects taught through Irish,N,N,CATHOLIC,Open,780,,780,53.4087652,-7.9877469,,,,,,,,,,,,,,,,,,,,
626,65490L,The Abbey School,,Station Road,Co. Tipperary,,,Tipperary,E34PD87,6252299.0,abbeyoffice@eircom.net,MR. JOHN KIELY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,414,414,53.84493450000001,-8.2028541,,,,,,,,,,,,,,,,,,,,
627,65500L,St. Anne's Secondary School,http://stannesschool.ie/,Convent Of Mercy,Rosanna Road,Tipperary Town,,Tipperary,E34F210,6251747.0,stannesdp@gmail.com,MS. COLETTE TREACY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,340,,340,53.7686571,-8.4924537,CmRaAAAAUSK_Q1D4tc75N8o-oZeoJFa0S4PNDJ3EkjR1WBUtU0wBNLzlvOxyjPnaNeNfb3wi_wmQKFA35MP_shYe2JNZPfCZ2Q5zB9jbAFFza4CpFDhQ-0Ty0z5WuEyxnPkntqMeEhDPP14mymezwmrf7LXYn0e3GhQXvUukq6dHkQb5NkX_64YVa4DLyw,CmRaAAAAvemyZkEfZ6JUukCquJhcgL5Y41uzbbj1861yUOThlOSHZ7tmOcJI_2Mp1I3B6DSMUczKvp_SYBqEZdaqcfM2GZzi1_oo_JgOScJUE3gHbYy1jNL-6y0vsEDt1PJGiT4vEhAFAMVIXNB1cynql8XmfW1gGhTwiDfUzex-G4_r_KXkQ0B2l3wL7g,CmRaAAAAcEx5gObCZ4cCHtBkzeGQu6WAU8Q_kgPlNDZ-UoRARRlnRLoaqXl0CWfzDoH6AXBDcAddrCdMrzsAzronbfgVPT2Ccvsc9Dm-EdtFgFXuUyiI_O9MzQjELm1Phb_UsS6pEhA8NMVri5sohXUzH8LMq6h9GhQfQcnl1EPXky_tMYX2HbKgot6E8A,,,,,,,,,,,,,,,,,
628,72370P,Borrisokane Community College,http://www.borrisokanecc.ie/,Borrisokane,Co Tipperary,,,Tipperary,E45WC59,6727268.0,admin@borrisokanecc.ie,Mr. Matthew Carr,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,297,302,599,53.6249985,-8.2000222,,,,,,,,,,,,,,,,,,,,
629,72400V,Comeragh College,http://www.comeraghcollege.ie/,Greenside,Carrick-On-Suir,,,Tipperary,E32AN26,51640131.0,office@comeraghcollege.ie,Mr Kevin Langton,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,134,223,357,53.9693054,-8.2990085,CmRaAAAAVpETI7_4uKgx04KpU3t0pYFv_a_p2COd8eiHle-3DB4LzKhVmZpY-dJVUpEiwc97jsHXQ1gHTwY8bJf2fnNhldsyHitAN2s1B8-AV1X4daIfnpcOKuZp9xUdfokFRMNvEhA5UyVulYSDNt0_zXsAngYxGhQFEuJEplCR-3qsvxeXSi7ww7wXDA,CmRaAAAAq2mVwNakXra5hbVjNIaqrDW4-XB-43ufi18Z7kTGYs6hWWFVkQsx8UjG5chT6uk5ANcHJrCw5ZJTwLtL7flNgjlDNC8yoYshkihPtR_XCOG-LHiZ3xm4HHrJ4ub1-UcJEhB0HLWG83PZNyfZGlBpCK5PGhTxbScvWYTuN1JLXIbgv2NoEGqwrQ,,,,,,,,,,,,,,,,,,
630,72420E,Central Technical Institute,http://www.cti-clonmel.ie/,Clonmel,Co Tipperary,,,Tipperary,E91K2E2,526121450.0,info@cti-clonmel.ie,Mr. Charlie McGeever,Y,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,87,191,278,53.7673,-8.488,,,,,,,,,,,,,,,,,,,,
631,72430H,Scoil Ruain,http://www.rockwellcollege.ie/,Killenaule,Thurles,Co Tipperary,,Tipperary,E41XY95,529156332.0,scoilruain1@gmail.com,James Williams,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,159,238,397,54.2100573,-8.5115243,CmRaAAAAn95nSrwN1Fk37huKGIz1r8KKcyqFPkTnkWsQnYo0rLcJYyHwsdK7CyygEGRzivOgZ3JonZWWX1SQgi1m60VIy7gAsbBgdB6OmXkB-Dt7GuCw2yZk3TBHexgUKkbtQrPREhBuoPachsGbOr7jIm6eOQahGhSmKvNd5G-h7cWfIsR_frAF5uiu1w,CmRaAAAAejjNXIv0jY-4IJgkXFGzbPq3X1hw448QZ3g1LorZsu5sUqonx0mmKSF4WB2KkGWsaA0L1LCAyD8l5pZslDhncK7J4y0P8DtryZKNBscnbqmBZGBb1805ByBWFnWp0udaEhD64vgPLIEWXsAXvwAtd62kGhT6UbdK09D2vkgQKjf40ztcdJ410w,CmRaAAAATtMHKh7CeSmNyOUIxtbunLtzHgI7EwUXLmykfo4nCOLBNYbX2jUmWvK14GbI73myYpO_IvhZgSvmzk1pP1P5j9HzPiSpmTnpsqM38PTFLXJbwmDPmAqRiQVz7LKRJePCEhB5Tubn_r5KCy0NGc0C8ZsIGhTSiQVdG3xAuTT-t_maXs3284Ch0g,CmRaAAAAVOE93r8o6LJ7o-zVnl_G7W6QarMdJQPNh3xp7raHNRdUMyR01CCje_Hxtwr0hm2GaRV_tEDCYSCH6TVSeI0AVBpM2Q1xkwEpqXI2A5v47yDvGmfSjyPCoUqqmS1SdpvpEhAsbWrBTO8ejXu68vgBIC90GhQ2OQXIbOxFeE-f_Ca6TKkjeFpSYQ,,,,,,,,,,,,,,,,
632,72440K,Nenagh Vocational School,http://www.nenaghcollege.ie/,Dromin Road,Nenagh,Co Tipperary,,Tipperary,E45VF51,6731525.0,mkennedy_1@tipperaryetb.ie,Mr. Damien Kennedy,N,Mixed,Day,Some pupils taught some subjects through Irish,N,N,INTER DENOMINATIONAL,Open,225,172,397,54.0939456,-8.5138488,CmRaAAAAVc1y79ziqemCPoHlvHjcfSs4cc4uEuihZlnodGf2XMixsDFq4yvtvRedUmcuNSUNvaoYiYPeNX2jjAVP8iEC76SckUM97tVMlTmHTZF1mE9NrEu6p-vDiqHN8wX66mRqEhCV6_7VJDjjF_nAo9ZGEqpDGhS0kO7j9oipfXj1Vh_kyEks8p5_3Q,,,,,,,,,,,,,,,,,,,
633,72450N,Newport College,,Newport,Co Tipperary,,,Tipperary,V94A3W4,61378262.0,newportcollege@eircom.net,Ms. Clodagh Kelly,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,76,95,171,54.2154215,-9.092452999999999,,,,,,,,,,,,,,,,,,,,
